X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-92.271738,48.34503,623.00903,,,,CAMP-1,CAMP-1,CAMP- Lac la Croix - 1 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1&elat=48.34503&elon=-92.271738,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.257993,48.34541,623.00903,,,,CAMP-2,CAMP-2,CAMP- Lac la Croix - 2 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=2&elat=48.34541&elon=-92.257993,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.29945,48.23834,623.00903,,,,CAMP-3,CAMP-3,CAMP- Loon Lake - 3 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=3&elat=48.23834&elon=-92.29945,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.249084,48.18912,623.00903,,,,CAMP-4,CAMP-4,CAMP- Upper Pauness Lake - 4 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=4&elat=48.18912&elon=-92.249084,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.223487,48.20544,623.00903,,,,CAMP-5,CAMP-5,CAMP- Shell Lake - 5 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=5&elat=48.20544&elon=-92.223487,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.222094,48.19877,623.00903,,,,CAMP-6,CAMP-6,CAMP- Shell Lake - 6 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=6&elat=48.19877&elon=-92.222094,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.212908,48.20545,623.00903,,,,CAMP-7,CAMP-7,CAMP- Shell Lake - 7 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=7&elat=48.20545&elon=-92.212908,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.211769,48.20685,623.00903,,,,CAMP-8,CAMP-8,CAMP- Shell Lake - 8 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=8&elat=48.20685&elon=-92.211769,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.200139,48.23625,623.00903,,,,CAMP-9,CAMP-9,CAMP- Yodeler Lake - 9 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=9&elat=48.23625&elon=-92.200139,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.204564,48.30436,623.00903,,,,CAMP-10,CAMP-10,CAMP- Beartrack Lake - 10 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=10&elat=48.30436&elon=-92.204564,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.193694,48.27789,623.00903,,,,CAMP-11,CAMP-11,CAMP- Brigand Lake - 11 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=11&elat=48.27789&elon=-92.193694,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.159773,48.33096,623.00903,,,,CAMP-12,CAMP-12,CAMP- Takucmich Lake - 12 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=12&elat=48.33096&elon=-92.159773,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.167928,48.32068,623.00903,,,,CAMP-13,CAMP-13,CAMP- Trillium Lake - 13 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=13&elat=48.32068&elon=-92.167928,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.1622,48.29647,623.00903,,,,CAMP-14,CAMP-14,CAMP- Finger Lake - 14 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=14&elat=48.29647&elon=-92.1622,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.129246,48.31386,623.00903,,,,CAMP-15,CAMP-15,CAMP- Pocket Lake - 15 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=15&elat=48.31386&elon=-92.129246,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.096468,48.25129,623.00903,,,,CAMP-16,CAMP-16,CAMP- Rocky Lake - 16 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=16&elat=48.25129&elon=-92.096468,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.229034,48.34777,623.00903,,,,CAMP-17,CAMP-17,CAMP- Lac la Croix - 17 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=17&elat=48.34777&elon=-92.229034,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.232071,48.33519,623.00903,,,,CAMP-18,CAMP-18,CAMP- Lac la Croix - 18 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=18&elat=48.33519&elon=-92.232071,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.218305,48.34418,623.00903,,,,CAMP-19,CAMP-19,CAMP- Lac la Croix - 19 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=19&elat=48.34418&elon=-92.218305,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.201645,48.34453,623.00903,,,,CAMP-20,CAMP-20,CAMP- Lac la Croix - 20 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=20&elat=48.34453&elon=-92.201645,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.163761,48.35525,623.00903,,,,CAMP-21,CAMP-21,CAMP- Lac la Croix - 21 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=21&elat=48.35525&elon=-92.163761,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.15116,48.35481,623.00903,,,,CAMP-22,CAMP-22,CAMP- Lac la Croix - 22 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=22&elat=48.35481&elon=-92.15116,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.00613,48.25034,623.00903,,,,CAMP-23,CAMP-23,CAMP- Lac la Croix - 23 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=23&elat=48.25034&elon=-92.00613,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.081061,48.05524,623.00903,,,,CAMP-24,CAMP-24,CAMP- Big Moose Lake - 24 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=24&elat=48.05524&elon=-92.081061,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.08322,48.06065,623.00903,,,,CAMP-25,CAMP-25,CAMP- Big Moose Lake - 25 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=25&elat=48.06065&elon=-92.08322,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.093891,48.05675,623.00903,,,,CAMP-26,CAMP-26,CAMP- Big Moose Lake - 26 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=26&elat=48.05675&elon=-92.093891,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.093143,48.04435,623.00903,,,,CAMP-27,CAMP-27,CAMP- Big Moose Lake - 27 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=27&elat=48.04435&elon=-92.093143,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.075908,48.03797,623.00903,,,,CAMP-28,CAMP-28,CAMP- Big Moose Lake - 28 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=28&elat=48.03797&elon=-92.075908,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.107384,48.01065,623.00903,,,,CAMP-29,CAMP-29,CAMP- Neewin Lake - 29 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=29&elat=48.01065&elon=-92.107384,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.325998,48.11192,623.00903,,,,CAMP-30,CAMP-30,CAMP- Astrid Lake - 30 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=30&elat=48.11192&elon=-92.325998,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.198652,48.05351,623.00903,,,,CAMP-31,CAMP-31,CAMP- Bootleg Lake - 31 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=31&elat=48.05351&elon=-92.198652,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.200685,48.04187,623.00903,,,,CAMP-32,CAMP-32,CAMP- Bootleg Lake - 32 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=32&elat=48.04187&elon=-92.200685,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.290049,48.00431,623.00903,,,,CAMP-33,CAMP-33,CAMP- Little Trout Lake - 33 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=33&elat=48.00431&elon=-92.290049,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.309558,47.94187,623.00903,,,,CAMP-34,CAMP-34,CAMP- Trout Lake - 34 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=34&elat=47.94187&elon=-92.309558,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.338329,47.93715,623.00903,,,,CAMP-35,CAMP-35,CAMP- Trout Lake - 35 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=35&elat=47.93715&elon=-92.338329,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.347204,47.94909,623.00903,,,,CAMP-36,CAMP-36,CAMP- Trout Lake - 36 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=36&elat=47.94909&elon=-92.347204,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.341747,47.95163,623.00903,,,,CAMP-37,CAMP-37,CAMP- Trout Lake - 37 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=37&elat=47.95163&elon=-92.341747,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.334018,47.95688,623.00903,,,,CAMP-38,CAMP-38,CAMP- Trout Lake - 38 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=38&elat=47.95688&elon=-92.334018,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.331676,47.95988,623.00903,,,,CAMP-39,CAMP-39,CAMP- Trout Lake - 39 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=39&elat=47.95988&elon=-92.331676,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.333186,47.98408,623.00903,,,,CAMP-40,CAMP-40,CAMP- Trout Lake - 40 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=40&elat=47.98408&elon=-92.333186,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.346729,47.99419,623.00903,,,,CAMP-41,CAMP-41,CAMP- Trout Lake - 41 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=41&elat=47.99419&elon=-92.346729,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.34246,47.99785,623.00903,,,,CAMP-42,CAMP-42,CAMP- Trout Lake - 42 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=42&elat=47.99785&elon=-92.34246,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.307653,47.97824,623.00903,,,,CAMP-43,CAMP-43,CAMP- Trout Lake - 43 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=43&elat=47.97824&elon=-92.307653,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.302295,47.99296,623.00903,,,,CAMP-44,CAMP-44,CAMP- Trout Lake - 44 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=44&elat=47.99296&elon=-92.302295,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.29874,47.98328,623.00903,,,,CAMP-45,CAMP-45,CAMP- Trout Lake - 45 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=45&elat=47.98328&elon=-92.29874,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.298415,47.9766,623.00903,,,,CAMP-46,CAMP-46,CAMP- Trout Lake - 46 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=46&elat=47.9766&elon=-92.298415,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.29778,47.97602,623.00903,,,,CAMP-47,CAMP-47,CAMP- Trout Lake - 47 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=47&elat=47.97602&elon=-92.29778,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.289006,47.97582,623.00903,,,,CAMP-48,CAMP-48,CAMP- Trout Lake - 48 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=48&elat=47.97582&elon=-92.289006,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.287705,47.97682,623.00903,,,,CAMP-49,CAMP-49,CAMP- Trout Lake - 49 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=49&elat=47.97682&elon=-92.287705,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.283376,47.97981,623.00903,,,,CAMP-50,CAMP-50,CAMP- Trout Lake - 50 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=50&elat=47.97981&elon=-92.283376,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.280657,47.97491,623.00903,,,,CAMP-51,CAMP-51,CAMP- Trout Lake - 51 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=51&elat=47.97491&elon=-92.280657,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.291027,47.96908,623.00903,,,,CAMP-52,CAMP-52,CAMP- Trout Lake - 52 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=52&elat=47.96908&elon=-92.291027,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.281424,47.96599,623.00903,,,,CAMP-53,CAMP-53,CAMP- Trout Lake - 53 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=53&elat=47.96599&elon=-92.281424,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.295255,47.95674,623.00903,,,,CAMP-54,CAMP-54,CAMP- Trout Lake - 54 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=54&elat=47.95674&elon=-92.295255,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.293806,47.954,623.00903,,,,CAMP-55,CAMP-55,CAMP- Trout Lake - 55 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=55&elat=47.954&elon=-92.293806,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.295799,47.93345,623.00903,,,,CAMP-56,CAMP-56,CAMP- Trout Lake - 56 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=56&elat=47.93345&elon=-92.295799,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.307753,47.93568,623.00903,,,,CAMP-57,CAMP-57,CAMP- Trout Lake - 57 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=57&elat=47.93568&elon=-92.307753,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.310576,47.94792,623.00903,,,,CAMP-58,CAMP-58,CAMP- Trout Lake - 58 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=58&elat=47.94792&elon=-92.310576,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.291209,48.01553,623.00903,,,,CAMP-59,CAMP-59,CAMP- Trout Lake - 59 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=59&elat=48.01553&elon=-92.291209,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.298734,48.01443,623.00903,,,,CAMP-60,CAMP-60,CAMP- Trout Lake - 60 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=60&elat=48.01443&elon=-92.298734,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.249158,47.98109,623.00903,,,,CAMP-61,CAMP-61,CAMP- Dugout Lake - 61 - status: closed,,https://bwca.com?fuseaction=maps.camp_info&entityid=61&elat=47.98109&elon=-92.249158,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.25901,47.94815,623.00903,,,,CAMP-62,CAMP-62,CAMP- Pine Lake - 62 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=62&elat=47.94815&elon=-92.25901,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.262108,47.94408,623.00903,,,,CAMP-63,CAMP-63,CAMP- Pine Lake - 63 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=63&elat=47.94408&elon=-92.262108,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.256088,47.93996,623.00903,,,,CAMP-64,CAMP-64,CAMP- Pine Lake - 64 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=64&elat=47.93996&elon=-92.256088,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.301752,47.90794,623.00903,,,,CAMP-65,CAMP-65,CAMP- Vermillion Lake - 65 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=65&elat=47.90794&elon=-92.301752,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.178255,47.91578,623.00903,,,,CAMP-66,CAMP-66,CAMP- Bear Lake - 66 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=66&elat=47.91578&elon=-92.178255,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.243285,47.94644,623.00903,,,,CAMP-67,CAMP-67,CAMP- Pine Lake - 67 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=67&elat=47.94644&elon=-92.243285,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.236413,47.93564,623.00903,,,,CAMP-68,CAMP-68,CAMP- Pine Lake - 68 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=68&elat=47.93564&elon=-92.236413,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.230629,47.92569,623.00903,,,,CAMP-69,CAMP-69,CAMP- Pine Lake - 69 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=69&elat=47.92569&elon=-92.230629,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.182995,47.9658,623.00903,,,,CAMP-70,CAMP-70,CAMP- Western Lake - 70 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=70&elat=47.9658&elon=-92.182995,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.166726,47.95113,623.00903,,,,CAMP-71,CAMP-71,CAMP- Glenmore Lake - 71 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=71&elat=47.95113&elon=-92.166726,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.141444,47.95001,623.00903,,,,CAMP-72,CAMP-72,CAMP- Schlamn Lake - 72 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=72&elat=47.95001&elon=-92.141444,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.140897,47.99266,623.00903,,,,CAMP-73,CAMP-73,CAMP- Otter Lake - 73 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=73&elat=47.99266&elon=-92.140897,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.125476,47.98988,623.00903,,,,CAMP-74,CAMP-74,CAMP- Cummings Lake - 74 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=74&elat=47.98988&elon=-92.125476,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.097551,47.99705,623.00903,,,,CAMP-75,CAMP-75,CAMP- Cummings Lake - 75 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=75&elat=47.99705&elon=-92.097551,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.071834,47.99584,623.00903,,,,CAMP-76,CAMP-76,CAMP- Cummings Lake - 76 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=76&elat=47.99584&elon=-92.071834,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.067023,47.9958,623.00903,,,,CAMP-77,CAMP-77,CAMP- Cummings Lake - 77 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=77&elat=47.9958&elon=-92.067023,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.069221,47.98833,623.00903,,,,CAMP-78,CAMP-78,CAMP- Cummings Lake - 78 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=78&elat=47.98833&elon=-92.069221,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.077926,47.99403,623.00903,,,,CAMP-79,CAMP-79,CAMP- Cummings Lake - 79 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=79&elat=47.99403&elon=-92.077926,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.089521,47.99173,623.00903,,,,CAMP-80,CAMP-80,CAMP- Cummings Lake - 80 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=80&elat=47.99173&elon=-92.089521,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.121848,47.98487,623.00903,,,,CAMP-81,CAMP-81,CAMP- Cummings Lake - 81 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=81&elat=47.98487&elon=-92.121848,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.031718,47.98912,623.00903,,,,CAMP-82,CAMP-82,CAMP- Silaca Lake - 82 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=82&elat=47.98912&elon=-92.031718,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.07293,47.97138,623.00903,,,,CAMP-83,CAMP-83,CAMP- Korb Lake - 83 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=83&elat=47.97138&elon=-92.07293,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.073901,47.95824,623.00903,,,,CAMP-84,CAMP-84,CAMP- Little Crab Lake - 84 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=84&elat=47.95824&elon=-92.073901,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.100316,47.94133,623.00903,,,,CAMP-85,CAMP-85,CAMP- Hassel Lake - 85 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=85&elat=47.94133&elon=-92.100316,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.092777,47.93752,623.00903,,,,CAMP-86,CAMP-86,CAMP- Saca Lake - 86 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=86&elat=47.93752&elon=-92.092777,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.110299,47.92922,623.00903,,,,CAMP-87,CAMP-87,CAMP- Battle Lake - 87 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=87&elat=47.92922&elon=-92.110299,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.09437,47.91913,623.00903,,,,CAMP-88,CAMP-88,CAMP- Meat Lake - 88 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=88&elat=47.91913&elon=-92.09437,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.088378,47.92112,623.00903,,,,CAMP-89,CAMP-89,CAMP- Clark Lake - 89 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=89&elat=47.92112&elon=-92.088378,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.066673,47.95128,623.00903,,,,CAMP-90,CAMP-90,CAMP- Crab Lake - 90 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=90&elat=47.95128&elon=-92.066673,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.062884,47.94748,623.00903,,,,CAMP-91,CAMP-91,CAMP- Crab Lake - 91 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=91&elat=47.94748&elon=-92.062884,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.052876,47.95132,623.00903,,,,CAMP-92,CAMP-92,CAMP- Crab Lake - 92 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=92&elat=47.95132&elon=-92.052876,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.049854,47.94375,623.00903,,,,CAMP-93,CAMP-93,CAMP- Crab Lake - 93 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=93&elat=47.94375&elon=-92.049854,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.056234,47.9405,623.00903,,,,CAMP-94,CAMP-94,CAMP- Crab Lake - 94 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=94&elat=47.9405&elon=-92.056234,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.05154,47.93504,623.00903,,,,CAMP-95,CAMP-95,CAMP- Crab Lake - 95 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=95&elat=47.93504&elon=-92.05154,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.072782,47.93694,623.00903,,,,CAMP-96,CAMP-96,CAMP- Crab Lake - 96 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=96&elat=47.93694&elon=-92.072782,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.070797,47.94982,623.00903,,,,CAMP-97,CAMP-97,CAMP- Crab Lake - 97 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=97&elat=47.94982&elon=-92.070797,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.125812,48.13069,623.00903,,,,CAMP-98,CAMP-98,CAMP- Topaz Lake - 98 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=98&elat=48.13069&elon=-91.125812,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.117617,48.15668,623.00903,,,,CAMP-99,CAMP-99,CAMP- Gijikiki Lake - 99 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=99&elat=48.15668&elon=-91.117617,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.111091,48.13296,623.00903,,,,CAMP-100,CAMP-100,CAMP- Cherry Lake - 100 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=100&elat=48.13296&elon=-91.111091,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.102172,48.13645,623.00903,,,,CAMP-101,CAMP-101,CAMP- Cherry Lake - 101 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=101&elat=48.13645&elon=-91.102172,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.095096,48.13369,623.00903,,,,CAMP-102,CAMP-102,CAMP- Clam Lake - 102 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=102&elat=48.13369&elon=-91.095096,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.073203,48.14688,623.00903,,,,CAMP-103,CAMP-103,CAMP- Hanson Lake - 103 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=103&elat=48.14688&elon=-91.073203,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.086562,48.13619,623.00903,,,,CAMP-104,CAMP-104,CAMP- Hanson Lake - 104 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=104&elat=48.13619&elon=-91.086562,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.085193,48.1419,623.00903,,,,CAMP-105,CAMP-105,CAMP- Hanson Lake - 105 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=105&elat=48.1419&elon=-91.085193,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.075719,48.13856,623.00903,,,,CAMP-106,CAMP-106,CAMP- Hanson Lake - 106 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=106&elat=48.13856&elon=-91.075719,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.070583,48.15545,623.00903,,,,CAMP-107,CAMP-107,CAMP- Ester Lake - 107 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=107&elat=48.15545&elon=-91.070583,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-91.071068,48.15829,623.00903,,,,CAMP-108,CAMP-108,CAMP- Ester Lake - 108 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=108&elat=48.15829&elon=-91.071068,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
